Día de compra,Fecha de compra,Hora de compra,Comprado por,Contacto,Membresía,Frecuencia,Días de prueba,Auto renovaciones,Renovaciones pagadas,Día de inicio del último ciclo,Fecha de inicio del último ciclo,Hora de inicio del último ciclo,Día de fin del último ciclo,Fecha de fin del último ciclo,Hora de fin del último ciclo,Estado,Cancelado por,Ganancia,Método de pago,Origen de pago,Origen,Nombre del origen
Thursday,2020-02-12,00:12:52,Cliente 350,+525010253298,VIP,Mensual,30,Sí,8,Friday,2021-08-26,02:02:50,Saturday,2024-03-27,22:42:22,Inactivo,Cliente 390,$153.44,PayPal,Tienda física,Recomendación,Facebook
Thursday,2024-01-25,05:07:12,Cliente 69,+523475220402,Básica,Anual,7,Sí,8,Friday,2024-11-16,19:20:52,Saturday,2022-01-27,14:39:06,Inactivo,Cliente 277,,Transferencia bancaria,Tienda física,Recomendación,
Saturday,2020-10-16,20:45:35,Cliente 264,+529105172175,Premium,Mensual,30,Sí,3,Friday,2024-12-08,20:13:58,Thursday,2020-10-30,23:39:22,Inactivo,Cliente 487,,Transferencia bancaria,Online,Campaña publicitaria,Amigo
Sunday,2022-03-07,18:18:24,Cliente 333,+526088471481,Premium,Anual,30,Sí,0,Wednesday,2024-05-23,18:35:09,Sunday,2023-09-12,00:01:40,Activo,,$817.32,PayPal,Online,Campaña publicitaria,Google Ads
Sunday,2023-05-08,18:10:38,Cliente 174,+526429926162,VIP,Semanal,30,No,2,Thursday,2024-02-06,03:11:18,Sunday,2021-07-01,02:16:17,Activo,Cliente 344,,Tarjeta de crédito,Tienda física,Campaña publicitaria,Google Ads
Thursday,2023-01-26,15:07:11,Cliente 199,+523792553041,VIP,Semanal,7,Sí,4,Sunday,2023-03-15,22:06:27,Tuesday,2021-05-18,21:10:54,Activo,,$189.57,PayPal,Tienda física,,Google Ads
Tuesday,2021-03-18,05:50:34,Cliente 478,+526953421564,VIP,Semanal,14,Sí,0,Friday,2020-12-19,17:03:09,Friday,2021-10-23,00:44:48,Inactivo,Cliente 51,$889.83,PayPal,Online,Campaña publicitaria,
Friday,2022-12-17,08:32:04,Cliente 38,+525943846623,Básica,Anual,30,No,7,Wednesday,2021-05-08,14:28:39,Friday,2020-03-16,08:47:01,Inactivo,,,Transferencia bancaria,Online,Recomendación,Facebook
Thursday,2024-04-19,09:24:12,Cliente 291,+529859050178,Premium,Mensual,7,Sí,10,Saturday,2024-07-31,05:37:49,Tuesday,2020-03-04,07:46:25,Cancelado,Cliente 59,$736.02,Transferencia bancaria,Online,Campaña publicitaria,Amigo
Saturday,2022-08-25,01:47:17,Cliente 306,+523583396007,Premium,Mensual,7,No,2,Tuesday,2024-05-18,20:41:43,Tuesday,2024-08-09,02:18:49,Cancelado,,,Transferencia bancaria,Online,Recomendación,Google Ads
Sunday,2022-12-15,12:50:35,Cliente 46,+525833621968,VIP,Mensual,7,Sí,6,Friday,2024-01-16,17:00:51,Sunday,2024-03-17,05:46:47,Cancelado,Cliente 268,$544.75,Transferencia bancaria,Tienda física,Campaña publicitaria,Amigo
Monday,2024-04-09,03:07:34,Cliente 64,+528907638424,Básica,Mensual,30,No,2,Monday,2021-07-20,21:18:05,Thursday,2023-02-16,08:34:49,Activo,,,Transferencia bancaria,Online,,Google Ads
Friday,2020-02-01,21:22:24,Cliente 269,+523795879916,Premium,Anual,30,No,2,Thursday,2023-10-02,02:41:28,Friday,2021-01-30,20:46:35,Activo,,,PayPal,Tienda física,Recomendación,Facebook
Saturday,2023-09-13,01:25:52,Cliente 280,+526296507731,Premium,Semanal,14,Sí,2,Monday,2020-02-08,15:35:16,Sunday,2021-09-20,23:19:52,Inactivo,Cliente 331,,Tarjeta de crédito,Online,,Google Ads
Friday,2020-07-31,17:56:19,Cliente 224,+528223673805,VIP,Mensual,7,Sí,10,Saturday,2020-09-10,04:46:17,Tuesday,2021-05-25,15:28:39,Activo,,$362.05,PayPal,Online,Recomendación,Amigo
Monday,2024-05-11,22:28:08,Cliente 419,+525910135266,Básica,Mensual,7,Sí,1,Friday,2022-07-24,16:02:15,Saturday,2024-11-17,19:48:19,Activo,Cliente 498,$237.17,Tarjeta de crédito,Online,,Facebook
Tuesday,2024-03-09,04:50:15,Cliente 136,+524532874760,VIP,Mensual,14,No,10,Thursday,2021-04-14,05:27:55,Monday,2024-12-27,11:03:41,Activo,,$422.26,Tarjeta de crédito,Tienda física,,Amigo
Sunday,2022-01-22,06:38:31,Cliente 342,+521156939724,Premium,Mensual,14,Sí,9,Saturday,2024-08-23,20:16:41,Saturday,2023-07-17,04:47:23,Cancelado,Cliente 280,$797.19,Tarjeta de crédito,Online,Campaña publicitaria,Facebook
Sunday,2024-04-24,08:49:39,Cliente 162,+525430823895,Básica,Mensual,30,Sí,7,Wednesday,2020-06-08,19:55:12,Friday,2021-05-31,16:09:20,Cancelado,,,PayPal,Tienda física,,Facebook
Tuesday,2023-09-22,11:44:55,Cliente 229,+522329541181,Premium,Anual,7,Sí,7,Tuesday,2021-10-27,18:18:58,Friday,2021-11-17,07:57:37,Inactivo,Cliente 423,$882.87,Transferencia bancaria,Online,,Google Ads
Thursday,2022-01-02,10:08:11,Cliente 394,+529169169748,Premium,Semanal,14,Sí,7,Saturday,2022-09-25,14:49:16,Tuesday,2024-06-18,23:20:57,Activo,Cliente 338,$724.28,PayPal,Tienda física,,Facebook
Friday,2022-10-20,14:15:53,Cliente 417,+525776201473,Básica,Semanal,14,Sí,3,Monday,2024-09-18,18:50:46,Saturday,2022-08-10,12:48:35,Activo,Cliente 462,$192.89,Transferencia bancaria,Online,Campaña publicitaria,Amigo
Saturday,2022-04-02,13:59:19,Cliente 378,+524775245735,Premium,Anual,14,Sí,2,Saturday,2020-04-08,16:04:27,Sunday,2020-10-31,17:58:41,Cancelado,Cliente 91,,Tarjeta de crédito,Tienda física,Recomendación,
Tuesday,2020-03-12,17:36:53,Cliente 195,+522607313781,Básica,Mensual,14,No,8,Sunday,2021-06-05,19:47:01,Friday,2024-01-03,03:08:14,Inactivo,Cliente 343,,Transferencia bancaria,Tienda física,Recomendación,
Sunday,2020-01-28,03:49:31,Cliente 357,+521968449121,VIP,Semanal,30,No,5,Sunday,2022-12-31,02:22:14,Friday,2021-08-24,13:32:47,Cancelado,Cliente 310,$245.52,PayPal,Tienda física,Campaña publicitaria,Facebook
Sunday,2023-09-04,06:22:20,Cliente 351,+521875426659,Básica,Anual,14,Sí,4,Tuesday,2020-12-07,05:52:50,Wednesday,2020-11-13,11:57:18,Inactivo,Cliente 174,$443.08,Transferencia bancaria,Tienda física,Campaña publicitaria,Google Ads
Friday,2021-02-11,16:50:51,Cliente 469,+524303938437,Básica,Anual,30,Sí,8,Friday,2020-08-29,07:47:09,Saturday,2024-04-11,19:52:54,Cancelado,,,Tarjeta de crédito,Tienda física,,Amigo
Saturday,2021-11-25,18:03:47,Cliente 38,+526552970416,VIP,Semanal,14,Sí,3,Friday,2021-03-13,05:42:12,Saturday,2023-05-26,17:57:31,Cancelado,,$728.36,Tarjeta de crédito,Online,Recomendación,Facebook
Monday,2021-12-10,12:25:58,Cliente 277,+526496988053,Premium,Anual,7,No,2,Monday,2021-06-22,02:33:18,Saturday,2022-05-24,01:16:26,Activo,Cliente 159,,Tarjeta de crédito,Online,Campaña publicitaria,Amigo
Monday,2024-02-12,00:27:38,Cliente 223,+523816364705,VIP,Mensual,14,Sí,8,Saturday,2023-11-01,22:55:01,Sunday,2023-03-29,13:35:51,Inactivo,Cliente 118,,PayPal,Online,Recomendación,Amigo
Thursday,2021-02-03,06:14:32,Cliente 405,+523897027752,Premium,Semanal,7,Sí,7,Monday,2024-08-03,19:13:30,Sunday,2024-09-24,17:03:51,Inactivo,,,Tarjeta de crédito,Online,,Google Ads
Saturday,2024-08-08,17:31:21,Cliente 116,+529734984874,Premium,Semanal,14,No,0,Tuesday,2024-09-03,10:31:18,Monday,2022-07-25,02:19:43,Cancelado,,$680.81,Tarjeta de crédito,Online,Recomendación,
Tuesday,2020-07-16,18:40:56,Cliente 165,+524424184272,Premium,Semanal,30,No,10,Friday,2021-12-17,21:12:34,Friday,2024-01-24,10:36:16,Cancelado,,$436.31,Transferencia bancaria,Tienda física,Recomendación,Google Ads
Thursday,2023-06-30,09:47:56,Cliente 265,+522085542226,Básica,Mensual,14,Sí,7,Tuesday,2023-11-21,06:16:12,Monday,2020-02-13,00:43:01,Cancelado,,,Transferencia bancaria,Tienda física,Recomendación,Google Ads
Wednesday,2023-11-02,06:28:28,Cliente 17,+529281318958,Premium,Semanal,30,Sí,7,Saturday,2020-01-10,12:18:59,Sunday,2024-10-19,08:48:53,Inactivo,Cliente 464,,Transferencia bancaria,Tienda física,Recomendación,Facebook
Tuesday,2024-09-25,12:41:28,Cliente 59,+528854505330,VIP,Semanal,14,Sí,10,Thursday,2023-06-02,03:16:17,Tuesday,2024-12-24,07:43:56,Activo,,$464.35,Transferencia bancaria,Tienda física,,Google Ads
Saturday,2023-09-01,02:37:52,Cliente 393,+528715316451,VIP,Semanal,30,No,9,Tuesday,2024-08-05,16:50:51,Saturday,2022-10-21,06:11:41,Activo,,,PayPal,Tienda física,Campaña publicitaria,Google Ads
Monday,2020-03-29,01:06:32,Cliente 411,+529221846392,Premium,Mensual,14,No,3,Monday,2023-04-15,23:20:43,Thursday,2022-04-02,13:02:38,Activo,,,PayPal,Tienda física,Campaña publicitaria,Amigo
Sunday,2023-08-30,08:24:14,Cliente 63,+529291370553,VIP,Anual,7,Sí,0,Thursday,2024-04-11,20:17:24,Sunday,2024-08-16,14:58:15,Activo,Cliente 3,,PayPal,Tienda física,Recomendación,Google Ads
Tuesday,2020-07-11,20:48:20,Cliente 173,+522485460658,Premium,Anual,30,No,1,Wednesday,2021-11-22,09:24:05,Friday,2020-06-13,14:41:43,Cancelado,Cliente 142,$781.81,PayPal,Tienda física,,Google Ads
Sunday,2023-10-11,13:31:27,Cliente 21,+523186673277,VIP,Semanal,7,Sí,2,Friday,2021-07-09,10:32:11,Sunday,2024-05-02,08:40:49,Activo,Cliente 187,,PayPal,Tienda física,Campaña publicitaria,Facebook
Wednesday,2021-10-14,16:31:50,Cliente 305,+522270338055,Premium,Mensual,14,No,6,Tuesday,2022-11-24,05:14:10,Wednesday,2021-09-01,23:01:49,Inactivo,Cliente 195,$345.68,Transferencia bancaria,Online,Recomendación,Google Ads
Wednesday,2023-05-27,18:27:08,Cliente 168,+521365950017,VIP,Mensual,30,No,4,Saturday,2020-10-11,02:26:48,Tuesday,2023-10-28,00:38:06,Cancelado,Cliente 73,$670.66,Tarjeta de crédito,Online,,
Sunday,2024-10-05,10:31:51,Cliente 386,+525540088586,Básica,Mensual,30,No,9,Tuesday,2022-06-16,04:52:19,Tuesday,2023-08-16,14:49:01,Cancelado,Cliente 253,,Tarjeta de crédito,Tienda física,Campaña publicitaria,Amigo
Monday,2020-03-23,22:26:12,Cliente 249,+526809711052,VIP,Anual,14,Sí,5,Friday,2024-04-30,01:20:58,Saturday,2021-02-08,07:15:18,Activo,,$594.60,Transferencia bancaria,Online,Recomendación,Google Ads
Tuesday,2020-04-21,21:53:59,Cliente 162,+529849921262,Premium,Semanal,30,Sí,7,Thursday,2021-09-28,22:58:44,Tuesday,2022-04-23,13:30:48,Inactivo,,,PayPal,Online,Campaña publicitaria,Facebook
Sunday,2022-08-16,19:52:38,Cliente 226,+526333275261,VIP,Anual,14,No,1,Thursday,2021-10-06,04:39:26,Monday,2022-06-08,19:52:31,Inactivo,Cliente 6,$859.15,PayPal,Online,Recomendación,Google Ads
Monday,2020-10-21,12:36:08,Cliente 188,+524676662370,VIP,Mensual,7,Sí,2,Sunday,2024-07-22,13:28:54,Thursday,2021-02-07,19:24:59,Inactivo,,,Tarjeta de crédito,Online,Campaña publicitaria,
Tuesday,2023-12-02,17:45:39,Cliente 285,+525376328111,Básica,Mensual,30,Sí,6,Saturday,2023-02-22,08:48:50,Tuesday,2023-08-08,10:02:40,Inactivo,,,PayPal,Tienda física,,Facebook
Friday,2021-10-22,08:02:56,Cliente 408,+529939063258,Premium,Anual,30,Sí,10,Friday,2020-12-28,12:06:44,Thursday,2023-07-06,10:10:28,Cancelado,Cliente 25,$313.31,Transferencia bancaria,Tienda física,Campaña publicitaria,Google Ads
Saturday,2023-07-17,06:15:27,Cliente 261,+529630507286,Premium,Mensual,30,No,8,Friday,2024-03-13,22:25:04,Monday,2024-07-05,23:47:28,Activo,Cliente 456,,Transferencia bancaria,Tienda física,Campaña publicitaria,Facebook
Monday,2022-06-19,14:31:30,Cliente 291,+527058643975,Premium,Mensual,14,No,5,Tuesday,2023-08-21,02:12:48,Wednesday,2024-05-09,11:20:56,Inactivo,Cliente 243,,Tarjeta de crédito,Online,,Facebook
Monday,2021-02-10,14:27:14,Cliente 165,+528903816737,Básica,Anual,7,No,3,Thursday,2020-04-30,13:25:36,Wednesday,2024-05-31,10:42:01,Activo,,,PayPal,Tienda física,Campaña publicitaria,Amigo
Sunday,2020-05-07,06:28:41,Cliente 64,+522575154545,VIP,Semanal,7,No,9,Friday,2021-05-23,07:13:16,Friday,2024-05-11,16:01:25,Inactivo,,,PayPal,Tienda física,Recomendación,
Monday,2024-05-16,03:12:14,Cliente 422,+529540258636,Básica,Anual,14,Sí,9,Thursday,2024-02-28,03:15:24,Tuesday,2022-09-24,12:10:12,Cancelado,,,Tarjeta de crédito,Tienda física,,
Tuesday,2020-07-30,15:51:02,Cliente 202,+523562455407,VIP,Mensual,14,Sí,6,Sunday,2023-12-13,19:12:38,Sunday,2023-03-27,14:11:46,Activo,Cliente 421,$621.47,Transferencia bancaria,Online,Recomendación,Amigo
Thursday,2024-05-20,07:54:24,Cliente 202,+528413507355,Básica,Mensual,7,No,1,Monday,2024-12-29,15:00:57,Friday,2020-01-28,06:45:15,Activo,,$299.41,Transferencia bancaria,Tienda física,,
Monday,2021-11-10,15:38:10,Cliente 272,+521575757916,Básica,Anual,7,Sí,3,Monday,2021-05-03,20:42:02,Monday,2024-08-08,22:35:30,Cancelado,,$292.79,Tarjeta de crédito,Online,Campaña publicitaria,Amigo
Friday,2023-02-22,19:33:41,Cliente 329,+528719875204,Premium,Semanal,30,No,8,Wednesday,2021-05-27,04:57:07,Saturday,2024-11-08,21:05:44,Activo,Cliente 159,,PayPal,Tienda física,,Google Ads
Sunday,2021-07-10,15:33:54,Cliente 15,+524148364186,Premium,Anual,30,No,6,Wednesday,2021-06-10,08:28:16,Sunday,2024-02-16,19:48:42,Inactivo,Cliente 361,,PayPal,Tienda física,,Facebook
Sunday,2023-02-23,09:32:35,Cliente 58,+523623528626,Básica,Semanal,30,No,5,Monday,2022-05-15,08:00:41,Sunday,2020-01-04,15:17:13,Cancelado,Cliente 118,$207.57,PayPal,Online,Recomendación,
Thursday,2021-01-15,17:36:41,Cliente 93,+528281877725,Básica,Mensual,14,No,4,Thursday,2021-05-09,19:24:59,Monday,2020-10-20,23:14:23,Inactivo,Cliente 242,$112.47,Tarjeta de crédito,Tienda física,Campaña publicitaria,Google Ads
Wednesday,2020-07-19,13:07:17,Cliente 428,+528148582614,VIP,Mensual,30,Sí,0,Wednesday,2021-02-21,19:33:29,Saturday,2023-01-10,07:50:25,Cancelado,,,PayPal,Online,Recomendación,Google Ads
Sunday,2022-12-13,16:00:55,Cliente 186,+527804022580,VIP,Semanal,30,Sí,7,Friday,2020-08-31,22:22:15,Saturday,2023-02-02,08:03:06,Cancelado,,$304.80,Transferencia bancaria,Online,Campaña publicitaria,Google Ads
Monday,2022-02-15,08:59:22,Cliente 194,+524439433008,VIP,Mensual,7,Sí,4,Tuesday,2024-09-22,04:39:42,Friday,2023-03-17,17:25:08,Inactivo,Cliente 215,,Tarjeta de crédito,Tienda física,,Facebook
Saturday,2020-11-13,05:28:10,Cliente 183,+523022081581,Premium,Anual,14,No,10,Sunday,2024-11-27,09:45:59,Sunday,2024-08-02,14:30:17,Inactivo,Cliente 360,$401.92,Tarjeta de crédito,Tienda física,,Amigo
Tuesday,2023-06-10,06:13:50,Cliente 287,+523185600523,Premium,Anual,14,No,1,Friday,2021-10-12,02:57:11,Saturday,2020-06-01,23:56:14,Inactivo,,,Tarjeta de crédito,Tienda física,Recomendación,Amigo
Sunday,2023-01-11,21:23:09,Cliente 351,+527260068489,VIP,Semanal,14,No,5,Friday,2021-06-12,23:57:59,Friday,2024-06-25,22:53:46,Cancelado,,,Transferencia bancaria,Tienda física,Recomendación,
Thursday,2021-05-21,22:55:15,Cliente 338,+525399201019,Premium,Anual,30,No,10,Thursday,2023-08-02,18:08:36,Saturday,2024-03-15,15:09:13,Inactivo,Cliente 378,,Transferencia bancaria,Online,Recomendación,Facebook
Thursday,2023-05-28,06:26:11,Cliente 211,+528001218684,Premium,Mensual,14,No,8,Monday,2022-09-16,18:26:14,Friday,2024-12-06,02:40:42,Inactivo,,$678.81,Transferencia bancaria,Tienda física,Campaña publicitaria,Google Ads
Sunday,2020-10-18,10:32:21,Cliente 105,+528134882881,Premium,Semanal,7,Sí,8,Saturday,2020-02-25,17:46:03,Friday,2021-04-04,22:54:28,Activo,Cliente 287,$236.50,Transferencia bancaria,Tienda física,Recomendación,Amigo
Sunday,2021-04-23,01:52:06,Cliente 90,+523319126327,Premium,Semanal,14,No,4,Sunday,2020-05-02,10:12:50,Saturday,2024-12-22,22:13:53,Cancelado,,$498.57,Transferencia bancaria,Tienda física,,Google Ads
Friday,2021-01-26,04:04:09,Cliente 464,+524689998967,Premium,Anual,7,No,2,Friday,2023-08-14,11:15:50,Friday,2022-09-03,04:39:16,Activo,,$186.49,Transferencia bancaria,Online,Campaña publicitaria,Google Ads
Saturday,2021-07-24,00:15:01,Cliente 8,+522228853809,Básica,Semanal,30,No,8,Wednesday,2022-11-30,02:41:02,Saturday,2021-11-20,20:40:40,Activo,Cliente 26,,Tarjeta de crédito,Tienda física,,Facebook
Saturday,2023-09-09,07:36:12,Cliente 384,+529266370989,Premium,Mensual,7,Sí,5,Monday,2024-11-11,20:24:03,Monday,2020-11-01,17:16:33,Inactivo,Cliente 393,$939.06,Transferencia bancaria,Online,Campaña publicitaria,Google Ads
Thursday,2020-05-31,12:08:16,Cliente 195,+528920899834,Premium,Semanal,30,Sí,10,Monday,2021-08-24,08:39:55,Friday,2023-09-20,17:56:00,Cancelado,,$407.78,PayPal,Online,Recomendación,Amigo
Wednesday,2020-06-22,22:37:57,Cliente 44,+521409706569,Premium,Anual,30,No,2,Monday,2020-04-23,12:18:02,Monday,2024-06-17,22:25:02,Activo,Cliente 85,$315.10,Tarjeta de crédito,Online,,
Thursday,2023-04-03,04:19:12,Cliente 459,+529466346062,VIP,Anual,14,No,5,Saturday,2020-08-18,03:19:53,Wednesday,2024-08-14,09:04:54,Inactivo,Cliente 180,,PayPal,Online,,
Monday,2023-02-28,04:17:17,Cliente 386,+528866104664,VIP,Mensual,30,Sí,2,Tuesday,2021-06-11,02:16:37,Monday,2022-02-08,18:56:22,Activo,,$252.81,Tarjeta de crédito,Tienda física,,Amigo
Wednesday,2021-05-03,10:51:14,Cliente 252,+521705499041,Básica,Anual,30,No,6,Wednesday,2020-09-09,14:53:23,Tuesday,2021-08-04,23:59:52,Cancelado,,,PayPal,Online,Campaña publicitaria,
Monday,2020-07-03,16:45:51,Cliente 66,+522379726448,VIP,Mensual,30,No,7,Saturday,2022-03-06,10:04:54,Saturday,2020-02-18,02:51:06,Inactivo,,,PayPal,Online,,
Tuesday,2022-10-14,17:32:46,Cliente 270,+526890950966,Premium,Anual,14,No,8,Saturday,2021-02-15,04:10:05,Tuesday,2022-05-10,07:39:52,Inactivo,,,Tarjeta de crédito,Online,Recomendación,Google Ads
Wednesday,2022-03-10,05:23:07,Cliente 144,+525836734630,VIP,Anual,30,No,10,Thursday,2022-06-03,02:33:08,Tuesday,2022-11-16,08:40:27,Cancelado,Cliente 419,,Tarjeta de crédito,Online,,
Sunday,2023-02-08,20:33:02,Cliente 203,+529408452981,Premium,Mensual,7,No,3,Monday,2023-08-11,21:24:33,Saturday,2024-02-07,13:49:57,Cancelado,,,PayPal,Online,Recomendación,
Tuesday,2020-05-25,20:39:44,Cliente 12,+527329319501,Básica,Mensual,7,No,8,Friday,2023-10-10,02:45:02,Monday,2024-10-27,17:38:10,Inactivo,,$526.17,Transferencia bancaria,Online,Recomendación,Facebook
Monday,2021-02-07,16:18:49,Cliente 227,+525156209860,Básica,Semanal,30,No,10,Sunday,2020-11-11,21:10:58,Monday,2023-08-06,06:31:37,Activo,,,Tarjeta de crédito,Tienda física,Recomendación,Facebook
Sunday,2024-03-07,13:09:08,Cliente 131,+529886385327,Básica,Semanal,7,No,2,Sunday,2022-10-27,17:14:35,Wednesday,2023-12-14,01:43:48,Inactivo,Cliente 196,$455.36,Transferencia bancaria,Online,,Google Ads
Saturday,2021-02-27,23:23:03,Cliente 298,+528912652840,VIP,Mensual,30,Sí,5,Thursday,2024-07-04,00:58:15,Tuesday,2021-07-07,10:44:12,Inactivo,,,Tarjeta de crédito,Online,Campaña publicitaria,Facebook
Tuesday,2021-10-07,17:31:30,Cliente 57,+524802234912,Premium,Anual,14,No,7,Monday,2022-09-22,18:20:08,Sunday,2022-02-14,14:49:28,Cancelado,,,PayPal,Online,,Amigo
Wednesday,2022-10-12,14:13:05,Cliente 216,+529003114462,VIP,Mensual,14,No,7,Monday,2022-10-22,04:03:02,Tuesday,2022-10-08,21:44:21,Cancelado,,$550.55,Transferencia bancaria,Online,Campaña publicitaria,
Saturday,2024-03-20,08:52:07,Cliente 383,+525825646466,Básica,Anual,7,Sí,0,Thursday,2021-07-09,14:03:33,Sunday,2020-01-04,16:30:26,Cancelado,Cliente 183,$309.56,Tarjeta de crédito,Tienda física,Campaña publicitaria,Amigo
Wednesday,2022-06-18,09:34:09,Cliente 484,+522059132856,Básica,Anual,30,No,4,Saturday,2023-02-16,00:57:02,Monday,2023-02-03,15:23:15,Inactivo,,$655.21,Transferencia bancaria,Online,,Facebook
Monday,2020-04-14,19:42:22,Cliente 90,+526201320458,Premium,Semanal,14,No,5,Tuesday,2024-11-30,20:55:53,Thursday,2024-03-14,10:31:09,Inactivo,Cliente 422,,Transferencia bancaria,Online,Campaña publicitaria,Amigo
Friday,2024-02-09,14:18:04,Cliente 430,+528958385629,VIP,Mensual,30,Sí,2,Sunday,2021-04-26,10:35:27,Friday,2023-12-29,23:18:15,Activo,,,Transferencia bancaria,Online,,Google Ads
Saturday,2023-10-19,12:36:14,Cliente 324,+526096328124,VIP,Semanal,7,No,8,Saturday,2023-10-13,13:43:01,Wednesday,2021-01-24,13:16:25,Cancelado,,,Transferencia bancaria,Online,,Google Ads
Monday,2024-09-09,06:52:43,Cliente 270,+521339112921,Premium,Anual,30,No,0,Monday,2021-05-06,07:29:35,Friday,2021-11-15,11:36:03,Cancelado,,$177.75,PayPal,Online,Campaña publicitaria,Facebook
Tuesday,2022-03-15,02:15:07,Cliente 20,+523043621758,Premium,Semanal,30,No,7,Thursday,2022-02-11,21:56:18,Sunday,2020-02-17,00:34:15,Cancelado,Cliente 42,$482.11,PayPal,Tienda física,Recomendación,Amigo
Friday,2024-04-17,10:12:56,Cliente 479,+525740651236,Premium,Semanal,7,Sí,3,Monday,2020-03-22,17:48:29,Saturday,2024-04-24,14:05:53,Cancelado,,,PayPal,Online,Campaña publicitaria,
Wednesday,2020-07-12,10:56:38,Cliente 234,+522511861001,Premium,Semanal,7,No,1,Monday,2024-03-30,08:43:03,Wednesday,2021-11-25,07:48:09,Cancelado,,,PayPal,Online,Campaña publicitaria,
Thursday,2021-09-01,00:25:03,Cliente 436,+527956237623,VIP,Semanal,7,No,3,Thursday,2023-08-05,16:16:59,Wednesday,2021-09-09,18:29:17,Activo,,,PayPal,Online,Campaña publicitaria,Facebook
Thursday,2020-06-27,19:23:56,Cliente 42,+524166791411,Básica,Mensual,7,Sí,8,Saturday,2020-12-21,11:05:35,Tuesday,2022-10-01,07:33:03,Inactivo,,$527.67,Transferencia bancaria,Tienda física,Recomendación,
Monday,2022-03-05,22:24:19,Cliente 423,+529121878478,Premium,Mensual,30,Sí,6,Monday,2024-06-08,00:54:47,Thursday,2024-09-19,03:17:38,Activo,,$519.26,PayPal,Online,Campaña publicitaria,Facebook
Thursday,2020-11-11,14:46:42,Cliente 405,+528860079973,Básica,Mensual,7,No,8,Tuesday,2020-08-26,22:35:02,Wednesday,2022-04-24,05:29:11,Activo,Cliente 149,,Transferencia bancaria,Online,,
Wednesday,2020-08-05,08:15:50,Cliente 40,+528359925467,Básica,Anual,7,No,6,Thursday,2023-09-17,10:37:18,Sunday,2024-08-05,07:12:44,Activo,Cliente 42,$646.55,PayPal,Tienda física,Campaña publicitaria,
Thursday,2024-05-02,04:52:04,Cliente 247,+527999911178,VIP,Anual,7,No,5,Friday,2024-10-20,10:57:58,Monday,2020-04-30,12:49:28,Cancelado,Cliente 71,$537.98,Transferencia bancaria,Tienda física,Recomendación,Amigo
Friday,2021-03-24,13:22:40,Cliente 43,+523144319951,VIP,Mensual,30,No,1,Sunday,2020-07-27,04:31:03,Monday,2020-10-31,12:16:11,Inactivo,,,Tarjeta de crédito,Tienda física,Campaña publicitaria,
Sunday,2021-11-10,00:45:27,Cliente 424,+522244097285,Básica,Mensual,7,No,0,Friday,2021-01-28,18:15:08,Monday,2022-12-07,04:02:58,Cancelado,,$334.21,Tarjeta de crédito,Online,Recomendación,Google Ads
Wednesday,2021-09-09,20:31:17,Cliente 172,+521849330181,Premium,Mensual,14,Sí,6,Sunday,2024-06-08,17:27:24,Saturday,2023-03-04,01:05:56,Inactivo,Cliente 57,$634.16,Tarjeta de crédito,Tienda física,Campaña publicitaria,Google Ads
Sunday,2023-03-21,11:47:16,Cliente 6,+526205232306,Premium,Semanal,14,No,7,Sunday,2021-07-07,16:54:24,Wednesday,2023-07-28,23:13:11,Cancelado,Cliente 113,,Tarjeta de crédito,Tienda física,,Facebook
Tuesday,2023-04-08,08:04:11,Cliente 424,+524590849980,VIP,Anual,7,Sí,10,Wednesday,2023-04-13,20:21:55,Friday,2022-12-30,11:02:54,Activo,Cliente 122,,Tarjeta de crédito,Online,Recomendación,Facebook
Sunday,2023-07-15,03:37:25,Cliente 338,+522706723808,Premium,Semanal,7,Sí,0,Saturday,2023-03-15,17:45:56,Friday,2020-01-10,00:16:38,Cancelado,Cliente 110,,PayPal,Tienda física,,Google Ads
Thursday,2020-04-28,21:01:34,Cliente 399,+527464629924,VIP,Mensual,7,No,10,Thursday,2024-09-12,03:15:52,Sunday,2024-04-26,08:50:26,Activo,,$363.14,Tarjeta de crédito,Tienda física,,
Saturday,2023-03-08,05:41:37,Cliente 281,+521259981698,Premium,Semanal,7,No,5,Friday,2023-11-26,04:57:36,Wednesday,2022-11-30,11:48:45,Activo,,,Tarjeta de crédito,Online,,Google Ads
Sunday,2023-12-18,05:49:04,Cliente 326,+527875876612,VIP,Anual,14,Sí,7,Sunday,2022-10-03,03:13:28,Tuesday,2020-03-15,11:24:18,Cancelado,,,PayPal,Tienda física,Campaña publicitaria,Facebook
Monday,2024-04-01,09:38:33,Cliente 130,+526113446161,Premium,Mensual,14,No,6,Friday,2022-10-30,14:42:05,Tuesday,2023-03-12,00:50:23,Cancelado,Cliente 204,$306.26,Tarjeta de crédito,Tienda física,,Facebook
Tuesday,2021-06-26,15:21:52,Cliente 230,+522253539321,Premium,Semanal,30,No,0,Saturday,2021-03-03,03:59:55,Tuesday,2020-06-19,17:39:07,Inactivo,,,PayPal,Online,Recomendación,
Sunday,2020-08-28,19:31:26,Cliente 321,+521416756151,VIP,Mensual,30,Sí,6,Monday,2023-03-06,19:55:54,Friday,2020-07-13,11:00:56,Inactivo,,,Tarjeta de crédito,Online,Campaña publicitaria,Amigo
